,count_in_china_andothers,word_in_china_andothers,datechina_andothers,count_in_onlyworld,word_in_onlyworld,dateonlyworld,count_in_onlychina,word_in_onlychina,dateonlychina,count_in_all,word_in_all,dateall,percent_in_china_andothers,word_in_china_andothers_y,datechina_andothers_y,percent_in_only_world,word_in_only_world,dateonly_world,percent_in_only_china,word_in_only_china,dateonly_china
0,14,china,2020-01,3,china,2020-01,305,china,2020-01,318,china,2020-01,0.044585987261146500,china,2020-01,0.000586739683160571,china,2020-01,0.05965186778799140,china,2020-01
1,18,china,2020-02,6,china,2020-02,282,china,2020-02,299,china,2020-02,0.06818181818181820,china,2020-02,0.0010179843909060100,china,2020-02,0.04784526637258230,china,2020-02
2,44,china,2020-03,11,china,2020-03,236,china,2020-03,272,china,2020-03,0.057971014492753600,china,2020-03,0.002214170692431560,china,2020-03,0.04750402576489530,china,2020-03
3,0,covid19,2020-01,0,covid19,2020-01,0,covid19,2020-01,0,covid19,2020-01,0.0,covid19,2020-01,0.0,covid19,2020-01,0.0,covid19,2020-01
4,4,covid19,2020-02,50,covid19,2020-02,109,covid19,2020-02,243,covid19,2020-02,0.015151515151515200,covid19,2020-02,0.00848320325755005,covid19,2020-02,0.01849338310145910,covid19,2020-02
5,13,covid19,2020-03,129,covid19,2020-03,131,covid19,2020-03,352,covid19,2020-03,0.017127799736495400,covid19,2020-03,0.025966183574879200,covid19,2020-03,0.026368760064412200,covid19,2020-03
6,16,chinese,2020-01,3,chinese,2020-01,121,chinese,2020-01,137,chinese,2020-01,0.050955414012738900,chinese,2020-01,0.000586739683160571,chinese,2020-01,0.0236651672208097,chinese,2020-01
7,6,chinese,2020-02,2,chinese,2020-02,156,chinese,2020-02,162,chinese,2020-02,0.022727272727272700,chinese,2020-02,0.00033932813030200200,chinese,2020-02,0.02646759416355620,chinese,2020-02
8,30,chinese,2020-03,8,chinese,2020-03,137,chinese,2020-03,160,chinese,2020-03,0.039525691699604700,chinese,2020-03,0.001610305958132050,chinese,2020-03,0.027576489533011300,chinese,2020-03
9,0,cases,2020-01,2,cases,2020-01,18,cases,2020-01,22,cases,2020-01,0.0,cases,2020-01,0.00039115978877371400,cases,2020-01,0.0035204380989634300,cases,2020-01
